genes,stability
A1BG,0.49155396454099587
A1BG-AS1,0.23022997690353222
A1CF,0.002713058577995418
A2M,0.07075158269560529
A2ML1,0.02620015978820845
A3GALT2,0.012027070080932832
A4GALT,0.0423610350742111
A4GNT,0.05089654816325013
AAAS,0.08354344462306136
AACS,0.047893812076748005
AADAC,-0.010385604031767958
AADACL2,0.0251337525498752
AADACL3,0.0008488392584901208
AADACL4,0.01680209562276946
AADAT,0.059648601381349774
AAED1,0.06773169954909869
AAGAB,0.012205154979696323
AAK1,0.15834794541001845
AAMDC,0.14773668800545875
AAMP,-0.017091658259579794
AANAT,0.08883278183071776
AAR2,0.050437541413314954
AARD,0.21236381259424636
AARS,0.12968049814268595
AARS2,0.08126426475696426
AASDH,0.17173495632027908
AASDHPPT,0.018148752951892545
AASS,0.04975700897573884
AATBC,0.10875345817922048
AATF,0.23044176219577972
AATK,0.12694974534742953
ABAT,0.01788706638288714
ABCA1,0.1830594031284524
ABCA10,0.025797665635654738
ABCA11P,-0.001930446828163814
ABCA12,0.029389095566108643
ABCA13,0.046461531563126574
ABCA2,0.023175651582819163
ABCA3,-0.03016930161615256
ABCA4,0.20324530118845066
ABCA5,0.09269274632950854
ABCA6,0.42983739808664373
ABCA7,0.12836860050033333
ABCA8,0.04258879541375186
ABCA9,0.26112053234641713
ABCB1,0.04466841723785621
ABCB10,0.008647228819481073
ABCB11,-0.015517184026087313
ABCB4,0.012720850187617382
ABCB5,0.024883913333674106
ABCB6,0.22767400888385775
ABCB7,0.2003392112015818
ABCB8,-0.031086796964112467
ABCB9,0.09325013744908159
ABCC1,0.12128190948546545
ABCC10,-0.0313068182060697
ABCC11,0.10951658086171868
ABCC12,0.42544072394689947
ABCC13,0.022891742909378756
ABCC2,-0.014657919538149522
ABCC3,0.37128270474891606
ABCC4,0.172550209391053
ABCC5,0.18945874040724492
ABCC6,0.24966115903509759
ABCC8,0.3256761256811392
ABCC9,0.08097905307678643
ABCD1,0.036877398980273236
ABCD2,0.2000064044478685
ABCD3,-0.007917357180463548
ABCD4,0.14839827734504468
ABCE1,0.024111893896280375
ABCF1,0.07295119234767491
ABCF2,0.06923394248871378
ABCF3,-0.007497501107962043
ABCG1,0.18599036569278934
ABCG2,0.1471014183243558
ABCG4,0.3592120148191543
ABCG5,0.4063631324729309
ABCG8,0.0038391112401937474
ABHD1,0.16775250512741835
ABHD10,-0.03520176905103057
ABHD11,0.0037973246320787313
ABHD12,0.27474410463020865
ABHD12B,0.5370648370526623
ABHD13,0.2404711928724775
ABHD14A,0.05924906848932785
ABHD14B,0.004286351278563723
ABHD15,0.17948906816426005
ABHD16A,-0.06503455282332207
ABHD16B,-0.0005152123274937729
ABHD17A,0.11571816378120175
ABHD17B,0.11311820116860227
ABHD17C,0.24315396112759305
ABHD18,-0.0187097660676078
ABHD2,0.10680776585785488
ABHD3,0.15829759914333758
ABHD4,0.07267125747671875
ABHD5,0.0720951996045808
ABHD6,0.20117137204245208
ABHD8,-0.015597112194150246
ABI1,0.16866020739642126
ABI2,0.08655415564417816
ABI3,0.054747810401184586
ABI3BP,0.0983050772187201
ABL1,0.02753437870357644
ABL2,0.007797888984641427
ABLIM1,0.06869777309139846
ABLIM2,0.23702875948376734
ABLIM3,0.08351464723841866
ABO,-0.037431438233614514
ABR,0.16317823932400768
ABRA,0.025878152984293194
ABRACL,0.07662714255966879
ABRAXAS1,0.09460556160254388
ABRAXAS2,0.03199571779315699
ABT1,0.09796452771586649
ABTB1,0.24554162074443445
ABTB2,0.48862508639671515
ACAA1,0.1815127577862226
ACAA2,0.2782790177219954
ACACA,0.018007735649641858
ACACB,0.06231193613060922
ACAD10,0.005551602200910176
ACAD11,0.016018701147259305
ACAD8,0.044791007632896104
ACAD9,0.06140297691497166
ACADL,0.29112137055831705
ACADM,-0.029903925900561915
ACADS,0.15427819702583462
ACADSB,-0.024803786780599867
ACADVL,0.07398049048318281
ACAN,0.7637574700933627
ACAP1,-0.00756366314083005
ACAP2,-0.02432410658086065
ACAP3,0.24113776335439
ACAT1,0.060293977004092045
ACAT2,0.32268934640542646
ACBD3,-0.06713272619007613
ACBD4,0.018478182775730954
ACBD5,0.056364417360800584
ACBD6,0.022664967437862178
ACBD7,0.15453368303683396
ACCS,0.07753757398449636
ACCSL,-0.035708374486540476
ACD,0.06591146533433548
ACE,0.13842688895256675
ACE2,0.01486429290564285
ACER1,-0.002363555362906482
ACER2,-0.006695373449064513
ACER3,0.1395722931038227
ACHE,0.3215773734900734
ACIN1,0.008309241922287094
ACKR1,0.2548559457437674
ACKR2,0.04460806868300635
ACKR3,0.38505071326232615
ACKR4,-0.023484314739634974
ACLY,0.005738830945183928
ACMSD,0.048328702371922785
ACO1,0.1289948547980567
ACO2,0.22555261934371443
ACOT11,-0.005336712599719542
ACOT12,0.25049826371444356
ACOT13,0.1814685434054353
ACOT2,0.3877097059054339
ACOT4,-0.013282572225783761
ACOT6,-0.07301776043916726
ACOT7,0.07164949727184995
ACOT8,0.26711912389135856
ACOT9,0.07398424569326546
ACOX1,0.0323830653028546
ACOX2,0.24980998665578677
ACOX3,0.29471600255700003
ACOXL,0.06150872993580215
ACP1,0.30689172420924576
ACP2,-0.021633149688419038
ACP4,0.04916566693269993
ACP5,0.06273518064423776
ACP6,0.02773499382614952
ACP7,0.036496628854134454
ACPP,0.0885531417622719
ACR,0.10925518889388817
ACRBP,0.04159126714672417
ACRV1,0.060527136368657725
ACSBG1,0.14034580036572647
ACSBG2,0.07422836438369626
ACSF2,0.3164655806832171
ACSF3,0.03997043691949367
ACSL1,0.0526017796159192
ACSL3,0.08594193446923788
ACSL4,0.24731223470032393
ACSL5,0.05712151074145543
ACSL6,0.5058424020607283
ACSM1,0.02850306332341644
ACSM2A,-0.02492258433248727
ACSM2B,-0.005780697373477484
ACSM3,0.058705761745802644
ACSM4,0.0027720498388874148
ACSM5,0.2049582877374737
ACSM6,0.021743979915427123
ACSS1,0.006331539317771391
ACSS2,0.10334007936872568
ACSS3,0.1678824600519291
ACTA1,0.34366395443788184
ACTA2,0.044649509427478626
ACTA2-AS1,0.1649678179235538
ACTB,0.08022520704309898
ACTBL2,-0.0235332222770017
ACTC1,0.5752953238180664
ACTG1,0.3900795432700749
ACTG1P4,0.23225175856528094
ACTG2,0.042220063968246214
ACTL10,0.012955191044897856
ACTL6A,0.1260285964348346
ACTL6B,-0.03765931590360993
ACTL7A,0.007362274139450393
ACTL7B,0.07232049297759766
ACTL8,0.04934358775832205
ACTL9,0.051181653458665224
ACTN1,0.14689542794624397
ACTN2,0.26033290499256967
ACTN3,0.12240088252361266
ACTN4,0.29829908547975775
ACTR10,0.29289500800037954
ACTR1A,0.19124118284251196
ACTR1B,0.08394982153385512
ACTR2,0.0183482646496799
ACTR3,0.06533237424449383
ACTR3B,0.32160870116703133
ACTR3BP2,0.0058625612465154926
ACTR3C,0.3477589032301877
ACTR5,0.1936257800657015
ACTR6,0.08009202143077415
ACTR8,0.14804788425524731
ACTRT1,-0.02762718871188051
ACTRT2,-0.08091522157308381
ACTRT3,-0.027018546685779462
ACVR1,0.15533459950503886
ACVR1B,0.03375486783586676
ACVR1C,0.556027605464809
ACVR2A,0.45498315076156853
ACVR2B,0.28154728729723016
ACVRL1,0.16473115337176886
ACY3,0.2089138561900981
ACYP1,-0.04161379826762564
ACYP2,0.3309904636799914
ADA,0.10434779145497296
ADA2,0.02595969930730342
ADAD1,0.10018043012924936
ADAD2,0.3863420568065127
ADAL,0.10838441520045884
ADAM10,-0.03284223560320757
ADAM11,0.044362863172337175
ADAM12,0.040045088087781
ADAM15,0.074636062731889
ADAM17,0.08325836158430017
ADAM18,0.05701198002935184
ADAM19,0.111623324320838
ADAM2,-0.02237086740419499
ADAM20,0.10368008845694512
ADAM20P1,0.2337746438689969
ADAM21,0.06637764498487006
ADAM21P1,0.01022538972100404
ADAM22,0.3460901294025139
ADAM23,0.6498936546113426
ADAM28,0.28822373365073534
ADAM29,0.02583582239113291
ADAM30,0.03786471450617016
ADAM32,0.07018830862969527
ADAM33,-0.01150078591466065
ADAM5,0.013195433870496933
ADAM6,0.06604033242078847
ADAM7,0.0037756718562592293
ADAM8,0.19245511305057633
ADAM9,0.22245401874741902
ADAMDEC1,0.14532794662138737
ADAMTS1,0.03295916101880795
ADAMTS10,-0.0023582910934877815
ADAMTS12,-0.01500370509499192
ADAMTS13,0.2584966709946594
ADAMTS14,0.11138253053893961
ADAMTS15,-0.055292103852191896
ADAMTS16,0.11053525055947543
ADAMTS17,0.10651281132015744
ADAMTS18,0.06873565858878222
ADAMTS19,0.3256998544133698
ADAMTS2,0.15319890322986282
ADAMTS20,0.027612019859636926
ADAMTS3,0.5348438157256601
ADAMTS4,0.16079079379767164
ADAMTS5,0.23730674856825976
ADAMTS6,-0.009031549086079648
ADAMTS7,0.035629418499204604
ADAMTS7P1,0.00423668047800689
ADAMTS8,0.29879071851032407
ADAMTS9,0.4187697710653152
ADAMTSL1,0.28557835703270856
ADAMTSL2,0.2503641436128262
ADAMTSL3,0.2902404807392069
ADAMTSL4,0.035586686982260855
ADAMTSL5,0.011977755303603248
ADAP1,0.0898988958513164
ADAP2,0.36201624973156094
ADAR,0.06586247952126954
ADARB1,0.022215979546833253
ADARB2,0.047973968064266063
ADARB2-AS1,0.2034343970329627
ADAT1,0.018034588170524102
ADAT2,0.03239150847040127
ADAT3,0.049067915231887436
ADCK1,0.043237768965697795
ADCK2,0.011841105219524473
ADCK5,0.08451054432045625
ADCY1,0.15554173846876618
ADCY10,-0.003459923978249931
ADCY10P1,-0.002854212189833091
ADCY2,0.4053656395410718
ADCY3,0.09020269192989598
ADCY4,0.11062445515023679
ADCY5,0.009938249163968
ADCY6,0.009665189769808465
ADCY7,0.4270265511601802
ADCY8,0.1429981168556068
ADCY9,0.5009020081174443
ADCYAP1,0.3761904278195228
ADCYAP1R1,0.21881849467376968
ADD1,0.2409421162525142
ADD2,0.1472392309336639
ADD3,0.30393093736756455
ADD3-AS1,0.08203205680521439
ADGB,0.0515204066186909
ADGRA1,0.262522552717321
ADGRA2,0.11433977967081027
ADGRA3,0.26044457958775863
ADGRB1,0.05448360236611969
ADGRB2,0.06175862579526883
ADGRB3,0.2312834415001537
ADGRD1,0.0702607737863776
ADGRE1,0.041252718928268005
ADGRE2,0.031268878721882894
ADGRE3,0.03331351885354075
ADGRE5,0.18409282333064744
ADGRF1,0.03330935976936797
ADGRF2,0.012316695388021649
ADGRF3,0.004912404436469443
ADGRF4,-0.00026627235011769576
ADGRF5,0.27125569152864615
ADGRG1,0.40750555709216824
ADGRG2,0.029225009088794572
ADGRG3,0.051080784680624505
ADGRG4,0.02268435030106646
ADGRG5,-0.005450345208593883
ADGRG6,0.11948739355981765
ADGRG7,0.021967970556444685
ADGRL1,-0.030198684256056717
ADGRL2,0.2525712468476202
ADGRL3,0.3435140941945066
ADGRL4,0.17538595873306626
ADGRV1,0.39042987112433253
ADH1A,0.051522794444968364
ADH1B,0.039511781544629435
ADH1C,0.06352310936453504
ADH4,-0.02890590102522344
ADH5,0.08685844371756876
ADH6,0.006427240762716388
ADH7,0.042106333594091994
ADHFE1,0.2206189595653437
ADI1,0.27149329673093797
ADIG,0.02196630988349684
ADIPOQ,0.0467570351760152
ADIPOR1,0.019424003191665262
ADIPOR2,0.14679706693645259
ADIRF,0.3906887615548961
ADK,0.09179183955480737
ADM,0.25995452189519624
ADM2,0.04539679357521119
ADM5,0.3454055608549818
ADNP,0.05329711128825362
ADNP-AS1,0.07816418702954016
ADNP2,0.16894523052408647
ADO,0.248135060556377
ADORA1,0.12731178323680517
ADORA2A-AS1,0.011956100922732086
ADORA2B,0.2223066165526112
ADORA3,0.142419840131279
ADPGK,0.09574211034271828
ADPRH,0.03510682443266179
ADPRHL1,0.4125668614785712
ADPRHL2,0.07156979375379091
ADPRM,0.025234670339151877
ADRA1A,0.09461752530986287
ADRA1B,0.5054549023943238
ADRA1D,0.4797618875367917
ADRA2A,0.22089978717857542
ADRA2B,0.04712637676221403
ADRA2C,0.44273100228038664
ADRB1,0.28013580040035485
ADRB2,0.3763604927010518
ADRB3,0.009102494374556487
ADRM1,-0.05203106765871772
ADSL,0.08121063299616059
ADSS,-0.0011232458708698365
ADSSL1,0.28844045868415036
ADTRP,0.4511999011303331
AEBP1,0.2491428474797713
AEBP2,0.15942774738715607
AEN,0.09051009358524673
AES,-0.05919051542885769
AFAP1,0.09897566973499258
AFAP1-AS1,0.18443149144974788
AFAP1L1,0.2854316529038247
AFAP1L2,0.2958924641428712
AFDN,0.01611649855157701
AFDN-DT,0.1307389888322097
AFF1,0.1588009859377707
AFF2,0.2587615002225986
AFF3,0.07656181104334911
AFF4,0.02503403929119481
AFG1L,0.10235279060132056
AFG3L1P,0.0656398467604791
AFG3L2,0.02612258591129037
AFM,0.01224086889459718
AFMID,0.028153942200880546
AFP,0.059765349619630884
AFTPH,0.142348036986591
AGA,0.22768181899547452
AGAP1,0.15171933202651283
AGAP11,0.10325025734109881
AGAP2,0.0759075408037404
AGAP2-AS1,0.016218422754929393
AGAP3,0.20488405610430155
AGAP5,0.07955131681444953
AGBL1,0.06439270937120214
AGBL2,-0.019647981217999076
AGBL3,0.0838344835899014
AGBL4,0.06429388333904305
